Segment,Country, Product , Discount Band ,Units Sold, Manufacturing Price , Sale Price , Gross Sales ,  Sales , COGS , Profit ,Date,Month Number, Month Name ,Year
Enterprise,Germany, Paseo , Low ,1706, $10.00 , $125.00 ," $2,13,250.00 "," $2,06,852.50 "," $2,04,720.00 ","21,325.00",01-12-2014,12, December ,2014
Enterprise,Canada, Velo , Low ,2009, $120.00 , $125.00 ," $2,51,125.00 "," $2,43,591.25 "," $2,41,080.00 ","2,51,125.00",01-10-2014,10, October ,2014
Small Business,United States of America, VTT , Low ,2844, $250.00 , $300.00 ," $8,53,200.00 "," $8,27,604.00 "," $7,11,000.00 ","1,16,604.00",01-02-2014,2, February ,2014
Channel Partners,Mexico, VTT , Low ,1916, $250.00 , $12.00 ," $22,992.00 "," $22,302.24 "," $5,748.00 ","16,55,424.00",01-04-2014,4, April ,2014
Enterprise,Germany, VTT , Low ,1570, $250.00 , $125.00 ," $1,96,250.00 "," $1,90,362.50 "," $1,88,400.00 ","19,625.00",01-06-2014,6, June ,2014
Small Business,Canada, VTT , Low ,1874, $250.00 , $300.00 ," $5,62,200.00 "," $5,45,334.00 "," $4,68,500.00 ","76,834.00",01-08-2014,8, August ,2014
Government,Mexico, VTT , Low ,1642, $250.00 , $350.00 ," $5,74,700.00 "," $5,57,459.00 "," $4,26,920.00 ","1,30,539.00",01-08-2014,8, August ,2014
Midmarket,Germany, VTT , Low ,1945, $250.00 , $15.00 ," $29,175.00 "," $28,299.75 "," $19,450.00 ","8,84,975.00",01-10-2013,10, October ,2013
Government,Canada, Carretera , Low ,831, $3.00 , $20.00 ," $16,620.00 "," $16,121.40 "," $8,310.00 ","78,114.00",01-05-2014,5, May ,2014
Government,Mexico, Paseo , Low ,1760, $10.00 , $7.00 ," $12,320.00 "," $11,950.40 "," $8,800.00 ","31,504.00",01-09-2013,9, September ,2013
Government,Canada, Velo , Low ,3850.5, $120.00 , $20.00 ," $77,010.00 "," $74,699.70 "," $38,505.00 ","3,61,947.00",01-04-2014,4, April ,2014
Channel Partners,Germany, VTT , Low ,2479, $250.00 , $12.00 ," $29,748.00 "," $28,855.56 "," $7,437.00 ","21,41,856.00",01-01-2014,1, January ,2014
Midmarket,Mexico, Montana , Low ,2031, $5.00 , $15.00 ," $30,465.00 "," $29,246.40 "," $20,310.00 ","89,364.00",01-10-2014,10, October ,2014
Midmarket,Mexico, Paseo , Low ,2031, $10.00 , $15.00 ," $30,465.00 "," $29,246.40 "," $20,310.00 ","89,364.00",01-10-2014,10, October ,2014
Midmarket,France, Paseo , Low ,2261, $10.00 , $15.00 ," $33,915.00 "," $32,558.40 "," $22,610.00 ","99,484.00",01-12-2013,12, December ,2013
Government,United States of America, Velo , Low ,736, $120.00 , $20.00 ," $14,720.00 "," $14,131.20 "," $7,360.00 ","67,712.00",01-09-2013,9, September ,2013
Government,Canada, Carretera , Low ,2851, $3.00 , $7.00 ," $19,957.00 "," $19,158.72 "," $14,255.00 ","4,90,372.00",01-10-2013,10, October ,2013
Small Business,Germany, Carretera , Low ,2021, $3.00 , $300.00 ," $6,06,300.00 "," $5,82,048.00 "," $5,05,250.00 ","76,798.00",01-10-2014,10, October ,2014
Government,United States of America, Carretera , Low ,274, $3.00 , $350.00 ," $95,900.00 "," $92,064.00 "," $71,240.00 ","20,824.00",01-12-2014,12, December ,2014
Midmarket,Canada, Montana , Low ,1967, $5.00 , $15.00 ," $29,505.00 "," $28,324.80 "," $19,670.00 ","86,548.00",01-03-2014,3, March ,2014
Small Business,Germany, Montana , Low ,1859, $5.00 , $300.00 ," $5,57,700.00 "," $5,35,392.00 "," $4,64,750.00 ","70,642.00",01-08-2014,8, August ,2014
Government,Canada, Montana , Low ,2851, $5.00 , $7.00 ," $19,957.00 "," $19,158.72 "," $14,255.00 ","4,90,372.00",01-10-2013,10, October ,2013
Small Business,Germany, Montana , Low ,2021, $5.00 , $300.00 ," $6,06,300.00 "," $5,82,048.00 "," $5,05,250.00 ","76,798.00",01-10-2014,10, October ,2014
Enterprise,Mexico, Montana , Low ,1138, $5.00 , $125.00 ," $1,42,250.00 "," $1,36,560.00 "," $1,36,560.00 ","76,798.00",01-12-2014,12, December ,2014
Government,Canada, Paseo , Low ,4251, $10.00 , $7.00 ," $29,757.00 "," $28,566.72 "," $21,255.00 ","7,31,172.00",01-01-2014,1, January ,2014
Enterprise,Germany, Paseo , Low ,795, $10.00 , $125.00 ," $99,375.00 "," $95,400.00 "," $95,400.00 ","76,798.00",01-03-2014,3, March ,2014
Small Business,Germany, Paseo , Low ,1414.5, $10.00 , $300.00 ," $4,24,350.00 "," $4,07,376.00 "," $3,53,625.00 ","53,751.00",01-04-2014,4, April ,2014
Small Business,United States of America, Paseo , Low ,2918, $10.00 , $300.00 ," $8,75,400.00 "," $8,40,384.00 "," $7,29,500.00 ","1,10,884.00",01-05-2014,5, May ,2014
Government,United States of America, Paseo , Low ,3450, $10.00 , $350.00 ," $12,07,500.00 "," $11,59,200.00 "," $8,97,000.00 ","2,62,200.00",01-07-2014,7, July ,2014
Enterprise,France, Paseo , Low ,2988, $10.00 , $125.00 ," $3,73,500.00 "," $3,58,560.00 "," $3,58,560.00 ","76,798.00",01-07-2014,7, July ,2014
Midmarket,Canada, Paseo , Low ,218, $10.00 , $15.00 ," $3,270.00 "," $3,139.20 "," $2,180.00 ",9592,01-09-2014,9, September ,2014
Government,Canada, Paseo , Low ,2074, $10.00 , $20.00 ," $41,480.00 "," $39,820.80 "," $20,740.00 ","1,90,808.00",01-09-2014,9, September ,2014
Government,United States of America, Paseo , Low ,1056, $10.00 , $20.00 ," $21,120.00 "," $20,275.20 "," $10,560.00 ","97,152.00",01-09-2014,9, September ,2014
Midmarket,United States of America, Paseo , Low ,671, $10.00 , $15.00 ," $10,065.00 "," $9,662.40 "," $6,710.00 ","29,524.00",01-10-2013,10, October ,2013
Midmarket,Mexico, Paseo , Low ,1514, $10.00 , $15.00 ," $22,710.00 "," $21,801.60 "," $15,140.00 ","66,616.00",01-10-2013,10, October ,2013
Government,United States of America, Paseo , Low ,274, $10.00 , $350.00 ," $95,900.00 "," $92,064.00 "," $71,240.00 ","20,824.00",01-12-2014,12, December ,2014
Enterprise,Mexico, Paseo , Low ,1138, $10.00 , $125.00 ," $1,42,250.00 "," $1,36,560.00 "," $1,36,560.00 ","76,798.00",01-12-2014,12, December ,2014
Channel Partners,United States of America, Velo , Low ,1465, $120.00 , $12.00 ," $17,580.00 "," $16,876.80 "," $4,395.00 ","1,24,818.00",01-03-2014,3, March ,2014
Government,Canada, Velo , Low ,2646, $120.00 , $20.00 ," $52,920.00 "," $50,803.20 "," $26,460.00 ","2,43,432.00",01-09-2013,9, September ,2013
Government,France, Velo , Low ,2177, $120.00 , $350.00 ," $7,61,950.00 "," $7,31,472.00 "," $5,66,020.00 ","1,65,452.00",01-10-2014,10, October ,2014
Channel Partners,France, VTT , Low ,866, $250.00 , $12.00 ," $10,392.00 "," $9,976.32 "," $2,598.00 ","7,37,832.00",01-05-2014,5, May ,2014
Government,United States of America, VTT , Low ,349, $250.00 , $350.00 ," $1,22,150.00 "," $1,17,264.00 "," $90,740.00 ","26,524.00",01-09-2013,9, September ,2013
Government,France, VTT , Low ,2177, $250.00 , $350.00 ," $7,61,950.00 "," $7,31,472.00 "," $5,66,020.00 ","1,65,452.00",01-10-2014,10, October ,2014
Midmarket,Mexico, VTT , Low ,1514, $250.00 , $15.00 ," $22,710.00 "," $21,801.60 "," $15,140.00 ","66,616.00",01-10-2013,10, October ,2013
Government,Mexico, Amarilla , Low ,1865, $260.00 , $350.00 ," $6,52,750.00 "," $6,26,640.00 "," $4,84,900.00 ","1,41,740.00",01-02-2014,2, February ,2014
Enterprise,Mexico, Amarilla , Low ,1074, $260.00 , $125.00 ," $1,34,250.00 "," $1,28,880.00 "," $1,28,880.00 ","1,65,452.00",01-04-2014,4, April ,2014
Government,Germany, Amarilla , Low ,1907, $260.00 , $350.00 ," $6,67,450.00 "," $6,40,752.00 "," $4,95,820.00 ","1,44,932.00",01-09-2014,9, September ,2014
Midmarket,United States of America, Amarilla , Low ,671, $260.00 , $15.00 ," $10,065.00 "," $9,662.40 "," $6,710.00 ","29,524.00",01-10-2013,10, October ,2013
Government,Canada, Amarilla , Low ,1778, $260.00 , $350.00 ," $6,22,300.00 "," $5,97,408.00 "," $4,62,280.00 ","1,35,128.00",01-12-2013,12, December ,2013
Government,Germany, Montana , Medium ,1159, $5.00 , $7.00 ," $8,113.00 "," $7,707.35 "," $5,795.00 ","1,91,235.00",01-10-2013,10, October ,2013
Government,Germany, Paseo , Medium ,1372, $10.00 , $7.00 ," $9,604.00 "," $9,123.80 "," $6,860.00 ","22,638.00",01-01-2014,1, January ,2014
Government,Canada, Paseo , Medium ,2349, $10.00 , $7.00 ," $16,443.00 "," $15,620.85 "," $11,745.00 ","3,87,585.00",01-09-2013,9, September ,2013
Government,Mexico, Paseo , Medium ,2689, $10.00 , $7.00 ," $18,823.00 "," $17,881.85 "," $13,445.00 ","4,43,685.00",01-10-2014,10, October ,2014
Channel Partners,Canada, Paseo , Medium ,2431, $10.00 , $12.00 ," $29,172.00 "," $27,713.40 "," $7,293.00 ","2,04,204.00",01-12-2014,12, December ,2014
Channel Partners,Canada, Velo , Medium ,2431, $120.00 , $12.00 ," $29,172.00 "," $27,713.40 "," $7,293.00 ","2,04,204.00",01-12-2014,12, December ,2014
Government,Mexico, VTT , Medium ,2689, $250.00 , $7.00 ," $18,823.00 "," $17,881.85 "," $13,445.00 ","4,43,685.00",01-10-2014,10, October ,2014
Government,Mexico, Amarilla , Medium ,1683, $260.00 , $7.00 ," $11,781.00 "," $11,191.95 "," $8,415.00 ","2,77,695.00",01-07-2014,7, July ,2014
Channel Partners,Mexico, Amarilla , Medium ,1123, $260.00 , $12.00 ," $13,476.00 "," $12,802.20 "," $3,369.00 ","94,332.00",01-08-2014,8, August ,2014
Government,Germany, Amarilla , Medium ,1159, $260.00 , $7.00 ," $8,113.00 "," $7,707.35 "," $5,795.00 ","1,91,235.00",01-10-2013,10, October ,2013
Channel Partners,France, Carretera , Medium ,1865, $3.00 , $12.00 ," $22,380.00 "," $21,261.00 "," $5,595.00 ","15,666.00",01-02-2014,2, February ,2014
Channel Partners,Germany, Carretera , Medium ,1116, $3.00 , $12.00 ," $13,392.00 "," $12,722.40 "," $3,348.00 ","93,744.00",01-02-2014,2, February ,2014
Government,France, Carretera , Medium ,1563, $3.00 , $20.00 ," $31,260.00 "," $29,697.00 "," $15,630.00 ","14,067.00",01-05-2014,5, May ,2014
Small Business,United States of America, Carretera , Medium ,991, $3.00 , $300.00 ," $2,97,300.00 "," $2,82,435.00 "," $2,47,750.00 ","34,685.00",01-06-2014,6, June ,2014
Government,Germany, Carretera , Medium ,1016, $3.00 , $7.00 ," $7,112.00 "," $6,756.40 "," $5,080.00 ","16,764.00",01-11-2013,11, November ,2013
Midmarket,Mexico, Carretera , Medium ,2791, $3.00 , $15.00 ," $41,865.00 "," $39,771.75 "," $27,910.00 ","11,86,175.00",01-11-2014,11, November ,2014
Government,United States of America, Carretera , Medium ,570, $3.00 , $7.00 ," $3,990.00 "," $3,790.50 "," $2,850.00 ",9405,01-12-2014,12, December ,2014
Government,France, Carretera , Medium ,2487, $3.00 , $7.00 ," $17,409.00 "," $16,538.55 "," $12,435.00 ","4,10,355.00",01-12-2014,12, December ,2014
Government,France, Montana , Medium ,1384.5, $5.00 , $350.00 ," $4,84,575.00 "," $4,60,346.25 "," $3,59,970.00 ","1,00,37,625.00",01-01-2014,1, January ,2014
Enterprise,United States of America, Montana , Medium ,3627, $5.00 , $125.00 ," $4,53,375.00 "," $4,30,706.25 "," $4,35,240.00 ","4,53,375.00",01-07-2014,7, July ,2014
Government,Mexico, Montana , Medium ,720, $5.00 , $350.00 ," $2,52,000.00 "," $2,39,400.00 "," $1,87,200.00 ","52,200.00",01-09-2013,9, September ,2013
Channel Partners,Germany, Montana , Medium ,2342, $5.00 , $12.00 ," $28,104.00 "," $26,698.80 "," $7,026.00 ","1,96,728.00",01-11-2014,11, November ,2014
Small Business,Mexico, Montana , Medium ,1100, $5.00 , $300.00 ," $3,30,000.00 "," $3,13,500.00 "," $2,75,000.00 ","38,500.00",01-12-2013,12, December ,2013
Government,France, Paseo , Medium ,1303, $10.00 , $20.00 ," $26,060.00 "," $24,757.00 "," $13,030.00 ","11,727.00",01-02-2014,2, February ,2014
Enterprise,United States of America, Paseo , Medium ,2992, $10.00 , $125.00 ," $3,74,000.00 "," $3,55,300.00 "," $3,59,040.00 ","3,740.00",01-03-2014,3, March ,2014
Enterprise,France, Paseo , Medium ,2385, $10.00 , $125.00 ," $2,98,125.00 "," $2,83,218.75 "," $2,86,200.00 ","2,98,125.00",01-03-2014,3, March ,2014
Small Business,Mexico, Paseo , Medium ,1607, $10.00 , $300.00 ," $4,82,100.00 "," $4,57,995.00 "," $4,01,750.00 ","56,245.00",01-04-2014,4, April ,2014
Government,United States of America, Paseo , Medium ,2327, $10.00 , $7.00 ," $16,289.00 "," $15,474.55 "," $11,635.00 ","3,83,955.00",01-05-2014,5, May ,2014
Small Business,United States of America, Paseo , Medium ,991, $10.00 , $300.00 ," $2,97,300.00 "," $2,82,435.00 "," $2,47,750.00 ","34,685.00",01-06-2014,6, June ,2014
Government,United States of America, Paseo , Medium ,602, $10.00 , $350.00 ," $2,10,700.00 "," $2,00,165.00 "," $1,56,520.00 ","43,645.00",01-06-2014,6, June ,2014
Midmarket,France, Paseo , Medium ,2620, $10.00 , $15.00 ," $39,300.00 "," $37,335.00 "," $26,200.00 ","11,135.00",01-09-2014,9, September ,2014
Government,Canada, Paseo , Medium ,1228, $10.00 , $350.00 ," $4,29,800.00 "," $4,08,310.00 "," $3,19,280.00 ","89,030.00",01-10-2013,10, October ,2013
Government,Canada, Paseo , Medium ,1389, $10.00 , $20.00 ," $27,780.00 "," $26,391.00 "," $13,890.00 ","12,501.00",01-10-2013,10, October ,2013
Enterprise,United States of America, Paseo , Medium ,861, $10.00 , $125.00 ," $1,07,625.00 "," $1,02,243.75 "," $1,03,320.00 ","1,07,625.00",01-10-2014,10, October ,2014
Enterprise,France, Paseo , Medium ,704, $10.00 , $125.00 ," $88,000.00 "," $83,600.00 "," $84,480.00 ",-880,01-10-2013,10, October ,2013
Government,Canada, Paseo , Medium ,1802, $10.00 , $20.00 ," $36,040.00 "," $34,238.00 "," $18,020.00 ","16,218.00",01-12-2013,12, December ,2013
Government,United States of America, Paseo , Medium ,2663, $10.00 , $20.00 ," $53,260.00 "," $50,597.00 "," $26,630.00 ","23,967.00",01-12-2014,12, December ,2014
Government,France, Paseo , Medium ,2136, $10.00 , $7.00 ," $14,952.00 "," $14,204.40 "," $10,680.00 ","35,244.00",01-12-2013,12, December ,2013
Midmarket,Germany, Paseo , Medium ,2116, $10.00 , $15.00 ," $31,740.00 "," $30,153.00 "," $21,160.00 ","8,993.00",01-12-2013,12, December ,2013
Midmarket,United States of America, Velo , Medium ,555, $120.00 , $15.00 ," $8,325.00 "," $7,908.75 "," $5,550.00 ","2,35,875.00",01-01-2014,1, January ,2014
Midmarket,Mexico, Velo , Medium ,2861, $120.00 , $15.00 ," $42,915.00 "," $40,769.25 "," $28,610.00 ","12,15,925.00",01-01-2014,1, January ,2014
Enterprise,Germany, Velo , Medium ,807, $120.00 , $125.00 ," $1,00,875.00 "," $95,831.25 "," $96,840.00 ","-1,00,875.00",01-02-2014,2, February ,2014
Government,United States of America, Velo , Medium ,602, $120.00 , $350.00 ," $2,10,700.00 "," $2,00,165.00 "," $1,56,520.00 ","43,645.00",01-06-2014,6, June ,2014
Government,United States of America, Velo , Medium ,2832, $120.00 , $20.00 ," $56,640.00 "," $53,808.00 "," $28,320.00 ","25,488.00",01-08-2014,8, August ,2014
Government,France, Velo , Medium ,1579, $120.00 , $20.00 ," $31,580.00 "," $30,001.00 "," $15,790.00 ","14,211.00",01-08-2014,8, August ,2014
Enterprise,United States of America, Velo , Medium ,861, $120.00 , $125.00 ," $1,07,625.00 "," $1,02,243.75 "," $1,03,320.00 ","-1,07,625.00",01-10-2014,10, October ,2014
Enterprise,France, Velo , Medium ,704, $120.00 , $125.00 ," $88,000.00 "," $83,600.00 "," $84,480.00 ",-880,01-10-2013,10, October ,2013
Government,France, Velo , Medium ,1033, $120.00 , $20.00 ," $20,660.00 "," $19,627.00 "," $10,330.00 ","9,297.00",01-12-2013,12, December ,2013
Small Business,Germany, Velo , Medium ,1250, $120.00 , $300.00 ," $3,75,000.00 "," $3,56,250.00 "," $3,12,500.00 ","43,750.00",01-12-2014,12, December ,2014
Government,Canada, VTT , Medium ,1389, $250.00 , $20.00 ," $27,780.00 "," $26,391.00 "," $13,890.00 ","12,501.00",01-10-2013,10, October ,2013
Government,United States of America, VTT , Medium ,1265, $250.00 , $20.00 ," $25,300.00 "," $24,035.00 "," $12,650.00 ","11,385.00",01-11-2013,11, November ,2013
Government,Germany, VTT , Medium ,2297, $250.00 , $20.00 ," $45,940.00 "," $43,643.00 "," $22,970.00 ","20,673.00",01-11-2013,11, November ,2013
Government,United States of America, VTT , Medium ,2663, $250.00 , $20.00 ," $53,260.00 "," $50,597.00 "," $26,630.00 ","23,967.00",01-12-2014,12, December ,2014
Government,United States of America, VTT , Medium ,570, $250.00 , $7.00 ," $3,990.00 "," $3,790.50 "," $2,850.00 ",9405,01-12-2014,12, December ,2014
Government,France, VTT , Medium ,2487, $250.00 , $7.00 ," $17,409.00 "," $16,538.55 "," $12,435.00 ","4,10,355.00",01-12-2014,12, December ,2014
Government,Germany, Amarilla , Medium ,1350, $260.00 , $350.00 ," $4,72,500.00 "," $4,48,875.00 "," $3,51,000.00 ","97,875.00",01-02-2014,2, February ,2014
Government,Canada, Amarilla , Medium ,552, $260.00 , $350.00 ," $1,93,200.00 "," $1,83,540.00 "," $1,43,520.00 ","40,020.00",01-08-2014,8, August ,2014
Government,Canada, Amarilla , Medium ,1228, $260.00 , $350.00 ," $4,29,800.00 "," $4,08,310.00 "," $3,19,280.00 ","89,030.00",01-10-2013,10, October ,2013
Small Business,Germany, Amarilla , Medium ,1250, $260.00 , $300.00 ," $3,75,000.00 "," $3,56,250.00 "," $3,12,500.00 ","43,750.00",01-12-2014,12, December ,2014
Midmarket,France, Paseo , Medium ,3801, $10.00 , $15.00 ," $57,015.00 "," $53,594.10 "," $38,010.00 ","1,55,841.00",01-04-2014,4, April ,2014
Government,United States of America, Carretera , Medium ,1117.5, $3.00 , $20.00 ," $22,350.00 "," $21,009.00 "," $11,175.00 ","9,834.00",01-01-2014,1, January ,2014
Midmarket,Canada, Carretera , Medium ,2844, $3.00 , $15.00 ," $42,660.00 "," $40,100.40 "," $28,440.00 ","1,16,604.00",01-06-2014,6, June ,2014
Channel Partners,Mexico, Carretera , Medium ,562, $3.00 , $12.00 ," $6,744.00 "," $6,339.36 "," $1,686.00 ","4,65,336.00",01-09-2014,9, September ,2014
Channel Partners,Canada, Carretera , Medium ,2299, $3.00 , $12.00 ," $27,588.00 "," $25,932.72 "," $6,897.00 ","19,03,572.00",01-10-2013,10, October ,2013
Midmarket,United States of America, Carretera , Medium ,2030, $3.00 , $15.00 ," $30,450.00 "," $28,623.00 "," $20,300.00 ","8,323.00",01-11-2014,11, November ,2014
Government,United States of America, Carretera , Medium ,263, $3.00 , $7.00 ," $1,841.00 "," $1,730.54 "," $1,315.00 ",41554,01-11-2013,11, November ,2013
Enterprise,Germany, Carretera , Medium ,887, $3.00 , $125.00 ," $1,10,875.00 "," $1,04,222.50 "," $1,06,440.00 ","-22,175.00",01-12-2013,12, December ,2013
Government,Mexico, Montana , Medium ,980, $5.00 , $350.00 ," $3,43,000.00 "," $3,22,420.00 "," $2,54,800.00 ","67,620.00",01-04-2014,4, April ,2014
Government,Germany, Montana , Medium ,1460, $5.00 , $350.00 ," $5,11,000.00 "," $4,80,340.00 "," $3,79,600.00 ","1,00,740.00",01-05-2014,5, May ,2014
Government,France, Montana , Medium ,1403, $5.00 , $7.00 ," $9,821.00 "," $9,231.74 "," $7,015.00 ","2,21,674.00",01-10-2013,10, October ,2013
Channel Partners,United States of America, Montana , Medium ,2723, $5.00 , $12.00 ," $32,676.00 "," $30,715.44 "," $8,169.00 ","22,54,644.00",01-11-2014,11, November ,2014
Government,France, Paseo , Medium ,1496, $10.00 , $350.00 ," $5,23,600.00 "," $4,92,184.00 "," $3,88,960.00 ","1,03,224.00",01-06-2014,6, June ,2014
Channel Partners,Canada, Paseo , Medium ,2299, $10.00 , $12.00 ," $27,588.00 "," $25,932.72 "," $6,897.00 ","19,03,572.00",01-10-2013,10, October ,2013
Government,United States of America, Paseo , Medium ,727, $10.00 , $350.00 ," $2,54,450.00 "," $2,39,183.00 "," $1,89,020.00 ","50,163.00",01-10-2013,10, October ,2013
Enterprise,Canada, Velo , Medium ,952, $120.00 , $125.00 ," $1,19,000.00 "," $1,11,860.00 "," $1,14,240.00 ","-2,380.00",01-02-2014,2, February ,2014
Enterprise,United States of America, Velo , Medium ,2755, $120.00 , $125.00 ," $3,44,375.00 "," $3,23,712.50 "," $3,30,600.00 ","-68,875.00",01-02-2014,2, February ,2014
Midmarket,Germany, Velo , Medium ,1530, $120.00 , $15.00 ," $22,950.00 "," $21,573.00 "," $15,300.00 ","6,273.00",01-05-2014,5, May ,2014
Government,France, Velo , Medium ,1496, $120.00 , $350.00 ," $5,23,600.00 "," $4,92,184.00 "," $3,88,960.00 ","1,03,224.00",01-06-2014,6, June ,2014
Government,Mexico, Velo , Medium ,1498, $120.00 , $7.00 ," $10,486.00 "," $9,856.84 "," $7,490.00 ","2,36,684.00",01-06-2014,6, June ,2014
Small Business,France, Velo , Medium ,1221, $120.00 , $300.00 ," $3,66,300.00 "," $3,44,322.00 "," $3,05,250.00 ","39,072.00",01-10-2013,10, October ,2013
Government,France, Velo , Medium ,2076, $120.00 , $350.00 ," $7,26,600.00 "," $6,83,004.00 "," $5,39,760.00 ","1,43,244.00",01-10-2013,10, October ,2013
Midmarket,Canada, VTT , Medium ,2844, $250.00 , $15.00 ," $42,660.00 "," $40,100.40 "," $28,440.00 ","1,16,604.00",01-06-2014,6, June ,2014
Government,Mexico, VTT , Medium ,1498, $250.00 , $7.00 ," $10,486.00 "," $9,856.84 "," $7,490.00 ","2,36,684.00",01-06-2014,6, June ,2014
Small Business,France, VTT , Medium ,1221, $250.00 , $300.00 ," $3,66,300.00 "," $3,44,322.00 "," $3,05,250.00 ","39,072.00",01-10-2013,10, October ,2013
Government,Mexico, VTT , Medium ,1123, $250.00 , $20.00 ," $22,460.00 "," $21,112.40 "," $11,230.00 ","98,824.00",01-11-2013,11, November ,2013
Small Business,Canada, VTT , Medium ,2436, $250.00 , $300.00 ," $7,30,800.00 "," $6,86,952.00 "," $6,09,000.00 ","77,952.00",01-12-2013,12, December ,2013
Enterprise,France, Amarilla , Medium ,1987.5, $260.00 , $125.00 ," $2,48,437.50 "," $2,33,531.25 "," $2,38,500.00 ","-4,96,875.00",01-01-2014,1, January ,2014
Government,Mexico, Amarilla , Medium ,1679, $260.00 , $350.00 ," $5,87,650.00 "," $5,52,391.00 "," $4,36,540.00 ","1,15,851.00",01-09-2014,9, September ,2014
Government,United States of America, Amarilla , Medium ,727, $260.00 , $350.00 ," $2,54,450.00 "," $2,39,183.00 "," $1,89,020.00 ","50,163.00",01-10-2013,10, October ,2013
Government,France, Amarilla , Medium ,1403, $260.00 , $7.00 ," $9,821.00 "," $9,231.74 "," $7,015.00 ","2,21,674.00",01-10-2013,10, October ,2013
Government,France, Amarilla , Medium ,2076, $260.00 , $350.00 ," $7,26,600.00 "," $6,83,004.00 "," $5,39,760.00 ","1,43,244.00",01-10-2013,10, October ,2013
Government,France, Montana , Medium ,1757, $5.00 , $20.00 ," $35,140.00 "," $33,031.60 "," $17,570.00 ","1,54,616.00",01-10-2013,10, October ,2013
Midmarket,United States of America, Paseo , Medium ,2198, $10.00 , $15.00 ," $32,970.00 "," $30,991.80 "," $21,980.00 ","90,118.00",01-08-2014,8, August ,2014
Midmarket,Germany, Paseo , Medium ,1743, $10.00 , $15.00 ," $26,145.00 "," $24,576.30 "," $17,430.00 ","71,463.00",01-08-2014,8, August ,2014
Midmarket,United States of America, Paseo , Medium ,1153, $10.00 , $15.00 ," $17,295.00 "," $16,257.30 "," $11,530.00 ","47,273.00",01-10-2014,10, October ,2014
Government,France, Paseo , Medium ,1757, $10.00 , $20.00 ," $35,140.00 "," $33,031.60 "," $17,570.00 ","1,54,616.00",01-10-2013,10, October ,2013
Government,Germany, Velo , Medium ,1001, $120.00 , $20.00 ," $20,020.00 "," $18,818.80 "," $10,010.00 ","88,088.00",01-08-2014,8, August ,2014
Government,Mexico, Velo , Medium ,1333, $120.00 , $7.00 ," $9,331.00 "," $8,771.14 "," $6,665.00 ","2,10,614.00",01-11-2014,11, November ,2014
Midmarket,United States of America, VTT , Medium ,1153, $250.00 , $15.00 ," $17,295.00 "," $16,257.30 "," $11,530.00 ","47,273.00",01-10-2014,10, October ,2014
Channel Partners,Mexico, Carretera , Medium ,727, $3.00 , $12.00 ," $8,724.00 "," $8,113.32 "," $2,181.00 ","5,93,232.00",01-02-2014,2, February ,2014
Channel Partners,Canada, Carretera , Medium ,1884, $3.00 , $12.00 ," $22,608.00 "," $21,025.44 "," $5,652.00 ","15,37,344.00",01-08-2014,8, August ,2014
Government,Mexico, Carretera , Medium ,1834, $3.00 , $20.00 ," $36,680.00 "," $34,112.40 "," $18,340.00 ","1,57,724.00",01-09-2013,9, September ,2013
Channel Partners,Mexico, Montana , Medium ,2340, $5.00 , $12.00 ," $28,080.00 "," $26,114.40 "," $7,020.00 ","1,90,944.00",01-01-2014,1, January ,2014
Channel Partners,France, Montana , Medium ,2342, $5.00 , $12.00 ," $28,104.00 "," $26,136.72 "," $7,026.00 ","19,11,072.00",01-11-2014,11, November ,2014
Government,France, Paseo , Medium ,1031, $10.00 , $7.00 ," $7,217.00 "," $6,711.81 "," $5,155.00 ","1,55,681.00",01-09-2013,9, September ,2013
Midmarket,Canada, Velo , Medium ,1262, $120.00 , $15.00 ," $18,930.00 "," $17,604.90 "," $12,620.00 ","49,849.00",01-05-2014,5, May ,2014
Government,Canada, Velo , Medium ,1135, $120.00 , $7.00 ," $7,945.00 "," $7,388.85 "," $5,675.00 ","1,71,385.00",01-06-2014,6, June ,2014
Government,United States of America, Velo , Medium ,547, $120.00 , $7.00 ," $3,829.00 "," $3,560.97 "," $2,735.00 ",82597,01-11-2014,11, November ,2014
Government,Canada, Velo , Medium ,1582, $120.00 , $7.00 ," $11,074.00 "," $10,298.82 "," $7,910.00 ","2,38,882.00",01-12-2014,12, December ,2014
Channel Partners,France, VTT , Medium ,1738.5, $250.00 , $12.00 ," $20,862.00 "," $19,401.66 "," $5,215.50 ","14,18,616.00",01-04-2014,4, April ,2014
Channel Partners,Germany, VTT , Medium ,2215, $250.00 , $12.00 ," $26,580.00 "," $24,719.40 "," $6,645.00 ","1,80,744.00",01-09-2013,9, September ,2013
Government,Canada, VTT , Medium ,1582, $250.00 , $7.00 ," $11,074.00 "," $10,298.82 "," $7,910.00 ","2,38,882.00",01-12-2014,12, December ,2014
Government,Canada, Amarilla , Medium ,1135, $260.00 , $7.00 ," $7,945.00 "," $7,388.85 "," $5,675.00 ","1,71,385.00",01-06-2014,6, June ,2014
Government,United States of America, Carretera , Medium ,1761, $3.00 , $350.00 ," $6,16,350.00 "," $5,73,205.50 "," $4,57,860.00 ","11,53,455.00",01-03-2014,3, March ,2014
Small Business,France, Carretera , Medium ,448, $3.00 , $300.00 ," $1,34,400.00 "," $1,24,992.00 "," $1,12,000.00 ","12,992.00",01-06-2014,6, June ,2014
